Name,CCF,CORE,QUALIS,SJR 2022,SJR-Quartile,H-Index (2022),Publisher
ACM Computing Surveys,,A*,A1,4.46,Q1,190,ACM
ACM Conference on Human Factors in Computing Systems (CHI),A,A*,A1,,,216,ACM
ACM Conference on Hypertext and Social Media (HT),,,A2,,,7,ACM
ACM Conference On Recommender Systems (RecSys),,B,B1,,,18,ACM
ACM Information Hiding and Multimedia Security Workshop (IH&MMSec),C,,,,,10,ACM
ACM International Conference on Information and Knowledge Management (CIKM),,A,A1,,,,ACM
ACM International Conference on Web Search and Data Mining (WSDM),,A*,A1,,,28,ACM
ACM Multimedia (ACM MM),A,A*,,,,41,ACM
ACM Symposium on Applied Computing (SAC),,B,A1,,,73,ACM
ACM Transactions on Computer-Human Interaction (TOCHI),,,,0.85,Q2,100,ACM
ACM Transactions on Database Systems,,A*,A2,1.71,Q1,86,ACM
ACM Transactions on Information Systems,,A,,1.86,Q1,89,ACM
"ACM Transactions on Multimedia Computing, Communications, and Applications (TOMCCAP)",,,,1.07,Q1,57,ACM
ACM Transactions on Privacy and Security (TOPS),B,,,0.9,Q1,21,ACM
ACM workshop on Digital rights management (DRM),C,,,,,8,ACM
ACM/IEEE Symposium on Edge Computing (SEC),C,,,,,0,ACM
Advanced Data Mining and Applications (ADMA),,B,,,,,Springer
Advances in Colloid and Interface Science,,,A1,2.24,Q1,210,Elsevier
Advances in Multimedia Information Processing (PCM),C,,,,,,Springer
Annals of Operation Research,,,A1,1.05,Q1,118,Springer
Annual Conference of the International Speech Communication Association (INTERSPEECH),C,A,A1,,,22,
Annual Conference on Neural Information Processing Systems (NeurIPS),,A*,,,,71,Curran Associates
Annual International Conference on Mobile Computing and Networking (MOBICOM),,A*,A1,,,144,ACM
Annual Review of Information Science and Technology,,A*,,,,59,Information Today
Annual Virtual Meeting of the Cognitive Science Society (CogSci),,A,B2,,,,Cognitive Science Society
Annual Workshop of The Australasian Language Technology Association (ALTA),,,B4,,,,ACL
Applied Mathematical Modelling,,,A2,1.08,Q1,131,Elsevier
Applied Mathematics and Computation,,,A1,0.96,Q1,166,Elsevier
Applied Soft Computing,,,A1,1.88,Q1,171,Elsevier
